File,Raw_reads,clone_filter_output,%_retain_Reads,clones,% clones,Retained Reads,Illumina Filtered,Adapter Seq,Low Quality,Ambiguous Barcodes,Ambiguous RAD-Tag,Total,Retained Reads,Illumina Filtered,Adapter Seq,Low Quality,Ambiguous Barcodes,Ambiguous RAD-Tag,Total,chimeras,percentage without clones,percentage total reads
Plate1_A,59854320,57901110,96.74,1953210,3.26,45369555,0,184708,1790016,5500768,5056063,57901110,78.35696932,0,0.319005974,3.0915055,9.500280737,8.732238467,100,734835,1.269120747,1.22770587
Plate1_B,70728258,68371288,96.67,2356970,3.33,55674183,0,224753,2083597,4878328,5510427,68371288,81.4291856,0,0.328724245,3.047473671,7.135053533,8.059562956,100,671894,0.982713679,0.94996543
Plate1_C,63290958,61209536,96.71,2081422,3.29,48221381,0,191244,1863740,5333114,5600057,61209536,78.78083082,0,0.312441512,3.044852358,8.712880947,9.148994366,100,623654,1.018883724,0.985376142
Plate1_D,70954814,68226642,96.16,2728172,3.84,55722318,0,226768,2092970,4614896,5569690,68226642,81.67237367,0,0.332374558,3.067672596,6.764067327,8.163511843,100,621748,0.911297965,0.876259079
Plate1_E,55123430,53418636,96.91,1704794,3.09,43711404,0,175374,1654684,3550488,4326686,53418636,81.82800474,0,0.328301157,3.097578156,6.646534367,8.099581577,100,493603,0.924027712,0.895450446
Plate1_F,62110062,60464936,97.35,1645126,2.65,49784784,0,210961,1804483,3750906,4913802,60464936,82.33661903,0,0.348898079,2.984346167,6.203439957,8.126696769,100,147454,0.243866958,0.237407588
Plate1_G,64892822,62665990,96.57,2226832,3.43,51962265,0,208051,1966971,3736434,4792269,62665990,82.91940333,0,0.331999861,3.138817403,5.962459063,7.647320341,100,417953,0.666953478,0.644066612
Plate1_H,72784992,70000886,96.17,2784106,3.83,57239413,0,231921,2159099,4678186,5692267,70000886,81.76955503,0,0.331311521,3.084388103,6.683038269,8.131707076,100,609592,0.870834692,0.837524307
Plate1_10,47400024,45891414,96.82,1508610,3.18,37399729,0,162002,1390256,3385084,3554343,45891414,81.49613564,0,0.353011568,3.029446859,7.376290476,7.745115459,100,439658,0.958039776,0.927548054
Plate1_11,43472198,42180876,97.03,1291322,2.97,35081646,0,152141,1234750,2565078,3147261,42180876,83.16955295,0,0.360687151,2.927274436,6.081139709,7.461345753,100,287490,0.681564793,0.661319218
Plate2_A,68395138,66716674,97.55,1678464,2.45,54788745,0,246271,2113589,4841852,4726217,66716674,82.12151733,0,0.369129612,3.168007146,7.257334201,7.084011712,100,569405,0.853467306,0.832522628
Plate2_B,72869024,70832696,97.21,2036328,2.79,59339239,0,266286,2277332,4228650,4721189,70832696,83.77379706,0,0.375936559,3.215085869,5.969912539,6.665267972,100,540523,0.76309816,0.741773349
Plate2_C,65478400,64129816,97.94,1348584,2.06,51741794,0,240659,2113910,4617258,5416195,64129816,80.68289795,0,0.375268502,3.296298246,7.199861606,8.445673694,100,588511,0.917687024,0.89878647
Plate2_D,51077304,49847572,97.59,1229732,2.41,39534570,0,180474,1621402,4283212,4227914,49847572,79.31092411,0,0.362051736,3.252720112,8.592619115,8.481684925,100,576245,1.156014179,1.128182098
Plate2_E,61351870,59714494,97.33,1637376,2.67,48005033,0,186072,1988548,4608398,4926443,59714494,80.39092318,0,0.311602741,3.330092691,7.717386,8.249995386,100,579618,0.970648767,0.94474382
Plate2_F,65231132,63308568,97.05,1922564,2.95,49171369,0,203582,2057745,6368856,5507016,63308568,77.66937486,0,0.321571008,3.250342039,10.06002221,8.698689883,100,838031,1.32372446,1.28471019
Plate2_G,56966658,55472714,97.38,1493944,2.62,43941180,0,181684,1796380,5258696,4294774,55472714,79.21224118,0,0.32751958,3.238312804,9.479788568,7.742137873,100,729670,1.315367407,1.28087205
Plate2_H,64263022,62711860,97.59,1551162,2.41,50373780,0,212210,2041413,5229210,4855247,62711860,80.32576294,0,0.338388943,3.255226364,8.338470586,7.742151166,100,744186,1.186675056,1.158031441
Plate2_10,47809300,47034698,98.38,774602,1.62,37615327,0,150751,1576165,3632120,4060335,47034698,79.97356973,0,0.32051019,3.351068609,7.722213928,8.632637548,100,432277,0.919059797,0.904169273
Plate2_11,39155066,38425428,98.14,729638,1.86,31698281,0,133019,1275752,2469916,2848460,38425428,82.49298095,0,0.346174413,3.320072323,6.427816497,7.412955817,100,328097,0.853853859,0.837942656
Plate3_A,62207128,60974648,98.02,1232480,1.98,49172343,0,227252,1785395,4393876,5395782,60974648,80.6439145,0,0.372699159,2.928093984,7.2060703,8.849222057,100,578529,0.948802525,0.930004356
Plate3_B,52125792,51101348,98.03,1024444,1.97,40141810,0,204684,1513107,4379580,4862167,51101348,78.55332897,0,0.400545207,2.96099234,8.57038057,9.514752918,100,603319,1.18063226,1.157428937
Plate3_C,56753152,55394006,97.61,1359146,2.39,45319853,0,220848,1640399,3808076,4404830,55394006,81.81364063,0,0.398685735,2.961329426,6.874527183,7.951817025,100,474929,0.857365326,0.836832816
Plate3_D,63364356,61958746,97.78,1405610,2.22,49120425,0,232235,1845792,4883828,5876466,61958746,79.27924332,0,0.374821982,2.979066103,7.882386774,9.48448182,100,699530,1.129025433,1.103980288
Plate3_E,50581884,49566358,97.99,1015526,2.01,39024043,0,200954,1446892,4211944,4682525,49566358,78.73090656,0,0.405424179,2.919100895,8.497586206,9.446982165,100,552947,1.115569153,1.093172014
Plate3_F,124219890,119564808,96.25,4655082,3.75,100440401,0,468534,3555420,6065768,9034685,119564808,84.00498665,0,0.391866142,2.973634182,5.073205152,7.556307873,100,815203,0.68180848,0.656258028
Plate3_G,58990118,57754822,97.91,1235296,2.09,46395335,0,227017,1764724,4097892,5269854,57754822,80.33153491,0,0.39307021,3.055544003,7.095324439,9.124526433,100,465414,0.805844402,0.788969434
Plate3_H,66734852,64914932,97.27,1819920,2.73,52333544,0,266348,1911887,4848238,5554915,64914932,80.61865335,0,0.410303133,2.945219137,7.468602139,8.557222243,100,576597,0.888234775,0.864011806
Plate3_10,37463996,36847582,98.35,616414,1.65,30503100,0,154125,1077964,2254010,2858383,36847582,82.7818227,0,0.418277107,2.925467402,6.117117807,7.757314985,100,323768,0.878668239,0.864211068
Plate3_11,30999220,30422620,98.14,576600,1.86,25456057,0,122255,882483,1857362,2104463,30422620,83.67476897,0,0.401855593,2.900746221,6.10520067,6.917428545,100,242088,0.795750004,0.780948682
Plate4_A,59502510,58106696,97.65,1349679,2.35,44085404,0,187977,2020027,6379194,5434094,58106696,75.8697483,0,0.323503164,3.476410016,10.9784146,9.351923916,100,905338,1.035930523,1.521512286
Plate4_B,57433152,55471708,96.58,1707382,3.42,41526178,0,174408,1996633,6252698,5521791,55471708,74.86010346,0,0.314408924,3.599371773,11.27186854,9.954247307,100,979202,0.871289198,1.704942121
Plate4_C,49993950,48810764,97.63,1183186,2.37,39015122,0,166124,1710931,4265218,3653369,48810764,79.93138972,0,0.340342962,3.505232985,8.738273386,7.484760943,100,732696,1.501095127,1.465569334
Plate4_D,50811732,49658372,97.73,1153360,2.27,38046133,0,168765,1753301,5288280,4401893,49658372,76.61574769,0,0.33985206,3.530725897,10.64932213,8.864352218,100,828758,1.668918989,1.631036706
Plate4_E,45660982,44108590,96.60,1552392,3.40,33350662,0,141337,1693432,4884134,4039025,44108590,75.61035617,0,0.320429649,3.839234036,11.07297694,9.157003205,100,756743,1.715636342,1.657307764
Plate4_F,129319974,125233602,96.84,4086372,3.16,97092612,0,421117,4362199,11142818,12214856,125233602,77.52920179,0,0.336265182,3.483249647,8.897626373,9.75365701,100,1542733,1.231884235,1.192958019
Plate4_G,43783260,42585870,97.27,1197390,2.73,33090913,0,144103,1553628,4304766,3492460,42585870,77.70397317,0,0.338382191,3.648224164,10.10843738,8.200983096,100,635431,1.492116986,1.451310387
Plate4_H,62119202,60633326,97.61,1485876,2.39,48946486,0,214844,2125666,4912874,4433456,60633326,80.72538524,0,0.354333193,3.505771727,8.102596912,7.311912924,100,798640,1.317163436,1.285657211
Plate4_10,48047822,47013154,97.85,1034668,2.15,39544700,0,178794,1596437,2804228,2888995,47013154,84.11411836,0,0.380306329,3.395724099,5.964773178,6.145078035,100,601945,1.280375701,1.252803925
Plate4_11,45128842,44005320,97.51,1123522,2.49,35788777,0,163794,1481306,3515552,3055891,44005320,81.32829622,0,0.372214087,3.366197542,7.988924975,6.944367181,100,483319,1.098319476,1.070975852
average,59961265.15,58316327.65,97.35,1637432.578,2.65,46869247.35,0,206361.15,1865510.625,4552044.65,4823163.875,58316327.65,80.3608435,0,0.354562377,3.202247926,7.862355632,8.219990562,,614289.325,1.032033254,1.039106194
min,30999220,30422620,96.16,576600,1.62,25456057,0,122255,882483,1857362,2104463,30422620,74.86010346,0,0.311602741,2.900746221,5.073205152,6.145078035,,147454,0.243866958,0.237407588
max,129319974,125233602,98.38,4655082,3.84,100440401,0,468534,4362199,11142818,12214856,125233602,84.11411836,0,0.418277107,3.839234036,11.27186854,9.954247307,,1542733,1.715636342,1.704942121
stdev,18542752.59,17792896.02,0.61,813343.4394,0.61,14479878.71,0,65970.29959,583586.1717,1516158.247,1686188.603,17792896.02,2.371124444,0,0.031098342,0.239326865,1.596533928,0.897486303,,235506.5815,0.287856527,0.310080851
median,59246314,57827966,97.44,1489910,2.56,45344704,0,196099,1793198,4501137,4759243,57827966,80.63128392,0,0.347536246,3.153412275,7.59299407,8.14760946,,595228,0.964344272,0.947354625
total,2398450606,2332653106,,65497303.13,,1874769894,0,8254446,74620425,182081786,192926555,2332653106,3214.43374,0,14.1824951,128.089917,314.4942253,328.7996225,,24571573,41.28133015,41.56424775
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,