# Pop ID,latitude,longitud,Polymorphic Sites,Polymorphic Loci,Num Indv,Obs Het,Obs Hom,Exp Het,Exp Hom,Pi,Fis
BE-Ardennes,50.25,5.66667,21823,62.0553,3.4993,0.2207,0.7793,0.2215,0.7785,0.2603,0.0773
BE-Namur,50.6474,4.872,16476,47.2755,1.9102,0.2568,0.7432,0.197,0.803,0.2695,0.0191
BE-Dalhem,50.7167,5.75,18117,51.751,2.8018,0.2682,0.7318,0.2026,0.7974,0.2491,-0.0346
DE-Grobenhaim,51.283333,13.55,19294,54.9202,4.3866,0.2287,0.7713,0.1925,0.8075,0.2199,-0.018
DE-Nordfriesland,54.4858,9.0524,16580,49.1317,2.8739,0.3459,0.6541,0.2077,0.7923,0.2706,-0.1302
DK-Ribe,55.285,8.6856,16697,47.6037,3.4197,0.2205,0.7795,0.1739,0.8261,0.2067,-0.0267
DK,56.2639,9.5018,12008,34.7223,2.6599,0.1512,0.8488,0.1352,0.8648,0.1706,0.0343
EN-Cornwall,50.4617,-4.7347,17943,51.197,3.68,0.2281,0.7719,0.1878,0.8122,0.2203,-0.0148
EN-Cumbria,54.203,-2.952,15595,44.5368,3.3593,0.2179,0.7821,0.1699,0.8301,0.2022,-0.029
EN-Kent,51.1269,1.2578,16871,48.9525,4.178,0.2731,0.7269,0.1842,0.8158,0.2181,-0.1036
EN-Worcestershire,52.3748,-1.9588,16998,49.3082,3.803,0.2534,0.7466,0.1809,0.8191,0.2205,-0.0615
EN-Suffolk,52.3362,0.5246,16320,47.2291,3.0444,0.2538,0.7462,0.1808,0.8192,0.2259,-0.0495
ES-Can,43.310181,-4.074571,21663,61.806,3.4245,0.273,0.727,0.2248,0.7752,0.2678,-0.0101
ES-Ast,43.17,-6.5,20124,58.6945,3.6181,0.2994,0.7006,0.2157,0.7843,0.2627,-0.0686
ES-Avi,40.137123,-5.250188,15056,51.0806,2.4398,0.3926,0.6074,0.2228,0.7772,0.3173,-0.1253
ES-Sal,40.977781,-5.965137,13245,47.6165,1.9676,0.3799,0.6201,0.2127,0.7873,0.3243,-0.0891
ES-Cuen ,40.020269,-1.821545,11129,38.9126,1.4462,0.3138,0.6862,0.1769,0.8231,0.2959,-0.0269
ES-Cat,41.7856,2.3912,25418,72.2985,4.6521,0.2595,0.7405,0.2471,0.7529,0.278,0.0387
FR-Mont,43.59861,3.89694,25980,73.8992,4.6671,0.2659,0.7341,0.2502,0.7498,0.2813,0.0318
FR-Cotes,48.5452,-3.3963,18538,56.7901,3.3663,0.3772,0.6228,0.2299,0.7701,0.2919,-0.1518
FR-Clerm,46.0811,3.0321,19634,56.9415,2.7801,0.3277,0.6723,0.2207,0.7793,0.2874,-0.0711
FR-Haute,45.7959,1.1346,20487,59.2812,2.9958,0.3036,0.6964,0.2213,0.7787,0.2759,-0.0506
FR-Somme,50.0833,1.5667,16718,54.6948,2.7152,0.4228,0.5772,0.2386,0.7614,0.3233,-0.1681
FR-Cap,43.159718,6.621073,19112,54.6369,2.5911,0.2477,0.7523,0.2093,0.7907,0.2639,0.0276
FR-Bany,42.4822,3.1275,21054,60.0839,2.8132,0.2613,0.7387,0.2277,0.7723,0.2791,0.031
FR-Port,43.0036,6.3944,11454,33.2859,2.8133,0.1666,0.8334,0.131,0.869,0.161,-0.0102
IE-Down,54.3277,-5.7158,9229,26.9075,1.9482,0.1563,0.8437,0.113,0.887,0.1533,-0.0045
IE,53.4129,-8.2439,11835,34.4311,2.4054,0.2121,0.7879,0.1384,0.8616,0.1859,-0.0433
IS-Horn,64.3858,-15.2892,9657,27.6705,3.3715,0.1288,0.8712,0.0941,0.9059,0.1151,-0.0248
IS-Rey,64.1,-21.8,11471,32.9769,3.485,0.1748,0.8252,0.1237,0.8763,0.1496,-0.0459
IT-Cal,38.1144388,15.65,7806,22.8272,3.7161,0.0997,0.9003,0.0835,0.9165,0.0981,-0.003
IT-Abruz,42.4576,13.9275,12279,35.7072,2.4131,0.1764,0.8236,0.1329,0.8671,0.1758,-0.0012
IT-Aspr,38.16667,16,12388,35.8014,2.5759,0.1546,0.8454,0.1304,0.8696,0.1677,0.0225
NO-Rog,58.9833,5.5667,16259,46.7885,3.3802,0.2535,0.7465,0.179,0.821,0.2182,-0.0647
NO-Vest,59.4656,10.0877,19062,55.4354,2.9545,0.3137,0.6863,0.212,0.788,0.2684,-0.0802
PL-Mied,52.606805,15.858405,1391,7.3265,1,0.0733,0.9267,0.0366,0.9634,0.0733,0
PL-Krosn,52.085966,15.147406,652,2.8807,1,0.0288,0.9712,0.0144,0.9856,0.0288,0
PL-Bory,53.7994342,17.5422478,4819,23.8199,1.8373,0.1626,0.8374,0.101,0.899,0.1406,-0.033
PT-Port,41.319446,-8.73556,16950,50.9974,2.8203,0.2986,0.7014,0.199,0.801,0.2597,-0.0683
PT-Cast,39.701098,-7.304068,12225,45.7351,2.025,0.373,0.627,0.2064,0.7936,0.3108,-0.0998
RS,44.731703,20.407595,9253,26.8608,9.0066,0.1025,0.8975,0.0876,0.9124,0.0938,-0.0167
SC-Edim,55.9575,-3.2581,14971,43.5723,4.1081,0.297,0.703,0.1785,0.8215,0.2147,-0.1482
SC-Inv,57.4574,-4.2351,15889,45.4491,3.6378,0.2027,0.7973,0.1677,0.8323,0.1979,-0.0091
SE-Lyk,56.168981,15.641943,7196,22.1668,1,0.2217,0.7783,0.1108,0.8892,0.2217,0
SE-Karl,59.401332,13.512529,12352,35.9028,1.9021,0.2076,0.7924,0.1509,0.8491,0.208,0.0006
SE-Ska,56,14.1,17478,54.4961,2.597,0.3944,0.6056,0.2304,0.7696,0.3154,-0.133
SE-Halm,56.673208,12.857219,6471,20.1998,1,0.202,0.798,0.101,0.899,0.202,0
SE-Nass,57.652091,14.697419,7219,21.7833,1,0.2178,0.7822,0.1089,0.8911,0.2178,0
Sl-Luj,46.053,14.47125,6289,19.8397,1.4151,0.1357,0.8643,0.0852,0.9148,0.139,0.005
Sl-Sko,45.571,13.7924,5827,17.4571,1.8215,0.1082,0.8918,0.0744,0.9256,0.1074,-0.0013
TN,36.7736,8.6848,16334,46.8573,2.8129,0.214,0.786,0.1821,0.8179,0.2233,0.0159
WL-Angl,53.2143,-4.3661,13508,38.7382,3.633,0.168,0.832,0.1439,0.8561,0.1698,0.0036
,,,652,2.8807,1,0.0288,0.5772,0.0144,0.7498,0.0288,-0.1681
,,,25980,73.8992,9.0066,0.4228,0.9712,0.2502,0.9856,0.3243,0.0773